d,p,c,o,f,g,weight,coef_estimates
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Mitochondria, g__Mitochondria,7.788160512565951e-4,-0.20573237442619985
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ia,0.016434171277564563,7.654053841937655
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Puniceispirillales, f__SAR116_clade, g__SAR116_clade,0.01602683396661657,0.4802222684023645
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__S25-593, g__S25-593,0.006402544906147678,0.14125004689166165
d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Verrucomicrobiales, f__DEV007, g__DEV007,0.005541163275457333,-1.235250240960583
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.0034591615658011907,4.230930571453203
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS5_marine_group,0.007188527563615527,0.03637691733418036
d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Verrucomicrobiales, f__DEV007, g__DEV007,0.011847998168883373,-2.856363660759141
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_IV, g__Clade_IV,0.03933246620893586,-27.133065525538345
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Cytophagales, f__Cyclobacteriaceae, g__Marinoscillum,0.025371246432315052,3.2496517783044934
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__KI89A_clade, f__KI89A_clade, g__KI89A_clade,0.06687122381082014,34.11218873501696
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_II, g__Clade_II,0.02992281665538561,-6.31715541621702
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.026451678992608616,-3.2059812435311303
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Thiotrichales, f__Thiotrichaceae, g__uncultured,0.008676452495099756,-8.453951814490287
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.011212110795020836,-4.2012093952376555
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.00538402321151462,1.4155469529549385
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Methylophilaceae, g__OM43_clade,0.0037890443912761496,-2.4068761308961992
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS4_marine_group,0.041116606311847215,3.44794470149611
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__KI89A_clade, f__KI89A_clade, g__KI89A_clade,0.007555737691205454,-1.9674362479182452
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Mitochondria, g__Mitochondria,0.002620298211121252,0.598943059451621
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__NS7_marine_group, g__NS7_marine_group,0.011173563579174537,-1.0176052296649556
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__HOC36, f__HOC36, g__HOC36,0.011279819892766071,-3.5990520564195894
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Synechococcales, f__Cyanobiaceae, g__Synechococcus_CC9902,0.03054718111885785,0.8290905606753673
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__AEGEAN-169_marine_group, g__AEGEAN-169_marine_group,0.020473436285369684,7.340588684996531
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__NS9_marine_group, g__NS9_marine_group,0.005151076446504886,2.2723624458174063
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.09270776440615446,-23.75186133998927
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Synechococcales, f__Cyanobiaceae, g__Prochlorococcus_MIT9313,0.06372762734061624,-12.589657932496637
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ia,0.0449798197934033,-7.67113057517541
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Parvibaculales, f__PS1_clade, g__PS1_clade,0.009418170013058372,0.9824166277578245
d__Archaea, p__Thermoplasmatota, c__Thermoplasmata, o__Marine_Group_II, f__Marine_Group_II, g__Marine_Group_II,0.06518160153385857,-6.940001266313835
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Cytophagales, f__Cyclobacteriaceae, g__Marinoscillum,0.023175508180992743,-2.87454924810874
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS4_marine_group,0.021232700882885973,8.011115536513612
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ia,0.017309596628447287,10.750608055048815
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.06502061193996919,-57.06134231516738
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__uncultured,0.017289177957879372,-5.39035763183948
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Thiomicrospirales, f__Thioglobaceae, g__SUP05_cluster,0.18456927868935494,-31.770116164578603
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Roseobacter_clade_NAC11-7_lineage,0.016421845297409265,-0.936252882774818
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_II, g__Clade_II,0.00653282856634356,0.6438194142976708
d__Bacteria, p__Bdellovibrionota, c__Oligoflexia, o__Oligoflexales, f__uncultured, g__uncultured,0.0028249549156557857,2.91195537985183
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__NS9_marine_group, g__NS9_marine_group,4.885946422547285e-4,-0.10769415679230519
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.2193631913137336,-38.1126518417392
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__NS7_marine_group, g__NS7_marine_group,0.019794013833400813,-4.304947901173215
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.0034824530514356725,-1.6385279409441407
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Synechococcales, f__Cyanobiaceae, g__Prochlorococcus_MIT9313,0.02636617235308513,-0.03734082196108579
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Oceanospirillales, f__Pseudohongiellaceae, g__Pseudohongiella,0.023204251979540586,-12.836345669341178
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.07006902270752093,-21.96141464550612
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_IV, g__Clade_IV,0.060147549909741846,-20.84827868414661
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Ascidiaceihabitans,0.13559464922763179,-22.85196363798083
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS5_marine_group,0.0031741921526681296,-1.8015295201290171
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Cellvibrionales, f__Halieaceae, g__OM60(NOR5)_clade,0.025156644927488325,8.817331489604554
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Cellvibrionales, f__Porticoccaceae, g__SAR92_clade,0.10695758389550584,24.673089198613468
d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Pirellulales, f__Pirellulaceae, g__Rubripirellula,0.005896450846582031,-1.9699649475304684
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Defluviicoccales, f__uncultured, g__uncultured,0.043209928913508444,-13.697112749653733
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ib,0.0295215518321235,-3.1233622768048583
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Magnetospiraceae, g__uncultured,0.0038733027863979965,-1.3964693981974765
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae,NA,0.0021392347098637397,-0.723810524985895
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Puniceispirillales, f__SAR116_clade, g__Candidatus_Puniceispirillum,0.04548328703281325,-0.3783236738002618
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Parvibaculales, f__PS1_clade, g__PS1_clade,0.012574270760168406,11.722372932438265
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Ascidiaceihabitans,0.022961815313004542,7.589272363029588
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__uncultured, f__uncultured, g__uncultured,0.006825290944232884,0.1752106471973941
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Mitochondria, g__Mitochondria,0.03327323985371942,40.64035290485206
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS5_marine_group,0.04347759906006837,-3.404487184701959
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae,NA,0.048965215835904484,11.012999338487836
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Pseudoalteromonadaceae, g__Pseudoalteromonas,0.025463655310988337,-8.363150638347689
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Steroidobacterales, f__Woeseiaceae, g__Woeseia,0.019553130227548964,-12.95911770257816
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Thiotrichales, f__Thiotrichaceae, g__uncultured,0.0029426402179367666,1.1448440630761505
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Planktomarina,0.05134466583136765,-15.635792033792852
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.09156051315660925,13.79168667926971
d__Bacteria, p__Actinobacteriota, c__Acidimicrobiia, o__Actinomarinales, f__Actinomarinaceae, g__Candidatus_Actinomarina,0.274976063416196,-19.007871012463454
d__Bacteria, p__Actinobacteriota, c__Acidimicrobiia, o__Actinomarinales, f__Actinomarinaceae, g__Candidatus_Actinomarina,0.07319681645234886,-15.34201453450025
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Puniceispirillales, f__SAR116_clade, g__SAR116_clade,0.003129749483296372,-1.1835313858903578
d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Opitutales, f__Puniceicoccaceae, g__uncultured,0.02221545075085546,-7.096504385167048
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.01970011075440364,-11.393995903923672
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Puniceispirillales, f__SAR116_clade, g__Candidatus_Puniceispirillum,0.02181665214581492,-7.978781667818195
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.0045992352158005685,1.6848723609523275
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Parvibaculales, f__OCS116_clade, g__OCS116_clade,0.007683340199671534,0.8156180039619014
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_IV, g__Clade_IV,0.013036802048677269,-11.377626722324647
d__Bacteria, p__SAR324_clade(Marine_group_B), c__SAR324_clade(Marine_group_B), o__SAR324_clade(Marine_group_B), f__SAR324_clade(Marine_group_B), g__SAR324_clade(Marine_group_B),0.019048220928901655,-2.9546873523485697
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.02659067398193396,-1.0208240181091695
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Mitochondria, g__Mitochondria,0.004830719199524425,1.2024256509438969
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.025419851158851727,23.020992703249682
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Puniceispirillales, f__SAR116_clade, g__SAR116_clade,0.12083977639721558,19.221792346307147
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_IV, g__Clade_IV,0.010525628439575128,-5.3515792857116695
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.0139518846607767,3.44590747463831
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Thalassobaculales, f__Nisaeaceae, g__OM75_clade,0.05912490306153973,-17.336494541726438
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.007327916648749301,-2.45820756212018
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Thiotrichales, f__Thiotrichaceae, g__uncultured,0.019652217428483387,-11.841245929756525
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS5_marine_group,0.06561929455090673,-9.945407264816325
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Cellvibrionales, f__Porticoccaceae, g__SAR92_clade,0.015288077939923447,-2.4373570169858123
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__Formosa,0.04954989375039468,-5.867369432507578
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Cytophagales, f__Cyclobacteriaceae, g__Marinoscillum,0.009615024035441429,-2.3170247040656333
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS4_marine_group,0.06092394348124887,-8.653646654842593
d__Bacteria, p__Actinobacteriota, c__Acidimicrobiia, o__Actinomarinales, f__Actinomarinaceae, g__Candidatus_Actinomarina,0.039425471934018574,2.3238661912759864
d__Bacteria, p__SAR324_clade(Marine_group_B), c__SAR324_clade(Marine_group_B), o__SAR324_clade(Marine_group_B), f__SAR324_clade(Marine_group_B), g__SAR324_clade(Marine_group_B),0.011407967855929579,-11.327388788824937
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.013721891871418954,0.18494297929461578
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Puniceispirillales, f__SAR116_clade, g__Candidatus_Puniceispirillum,0.004754346970578752,0.28429887568562984
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__MWH-UniP1_aquatic_group, g__MWH-UniP1_aquatic_group,0.003497902076923747,-14.46076986464776
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ia,0.03756552987213896,-19.479604609450043
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ib,0.01902295806847356,-3.0760102199093606
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.0014677270355288596,0.1413552708215376
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Cellvibrionales, f__Halieaceae, g__OM60(NOR5)_clade,0.004057379100425444,-0.6427514317747715
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Puniceispirillales, f__SAR116_clade, g__SAR116_clade,0.01825148772478769,1.3562693360093665
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__S25-593, g__S25-593,0.006917876890188002,-1.5792449049873596
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__AEGEAN-169_marine_group, g__AEGEAN-169_marine_group,0.04015425267353122,54.49029416226907
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ia,0.04204344646057467,-23.662666129529413
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.14954250576342448,-78.67172692622904
d__Bacteria, p__Planctomycetota, c__Phycisphaerae, o__Phycisphaerales, f__Phycisphaeraceae, g__CL500-3,0.0019007791681595464,-6.360230688229533
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Synechococcales, f__Cyanobiaceae, g__Synechococcus_CC9902,0.291143679486386,262.24699128666856
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__AEGEAN-169_marine_group, g__AEGEAN-169_marine_group,0.004690932358428136,8.121225899563308
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Mitochondria, g__Mitochondria,0.00320324220245144,-0.48277884891621364
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Defluviicoccales, f__uncultured, g__uncultured,0.002547127841317223,-2.36164188204987
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__OM182_clade, f__OM182_clade, g__OM182_clade,0.01068623540281564,-9.274706568046483
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ib,0.00638315381295619,-0.1866674217049722
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_III, g__Clade_III,0.00907097297625666,-1.982920345772025
d__Bacteria, p__Actinobacteriota, c__Acidimicrobiia, o__Microtrichales, f__Microtrichaceae, g__Sva0996_marine_group,0.0024354690819738904,-0.2677454015192522
d__Archaea, p__Thermoplasmatota, c__Thermoplasmata, o__Marine_Group_II, f__Marine_Group_II, g__Marine_Group_II,0.011289945039623767,3.3885281705133705
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__Tenacibaculum,0.01872503777590896,-17.672677763806796
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS2b_marine_group,0.10508842222417075,-0.04057835272508875
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__uncultured,0.04167794044162889,-32.33907179628072
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.02528962283893343,26.929474166257425
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Pseudoalteromonadaceae, g__Pseudoalteromonas,0.0512846726886235,-14.006223564027488
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Ascidiaceihabitans,0.005332563320146496,-1.7499992310896506
d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Pirellulales, f__Pirellulaceae, g__Blastopirellula,0.025167404428263453,-17.51092387705838
d__Bacteria, p__Marinimicrobia_(SAR406_clade), c__Marinimicrobia_(SAR406_clade), o__Marinimicrobia_(SAR406_clade), f__Marinimicrobia_(SAR406_clade), g__Marinimicrobia_(SAR406_clade),0.06201283745095117,-10.834911759637679
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_II, g__Clade_II,0.007811852678124009,-0.2486512148822065
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_II, g__Clade_II,0.007304023265331539,-1.0573644071991604
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.015193721995425685,0.3748144390068431
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.008259691467361394,-2.0147694061352075
d__Archaea, p__Thermoplasmatota, c__Thermoplasmata, o__Marine_Group_II, f__Marine_Group_II, g__Marine_Group_II,0.020802979730916923,3.6128516646276863
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.005638645291409071,-5.290430009989462
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Ectothiorhodospirales, f__Ectothiorhodospiraceae, g__uncultured,0.00865802764972352,2.0748683557533365
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS5_marine_group,0.0099257818204625,2.1354344206668676
d__Bacteria, p__Marinimicrobia_(SAR406_clade), c__Marinimicrobia_(SAR406_clade), o__Marinimicrobia_(SAR406_clade), f__Marinimicrobia_(SAR406_clade), g__Marinimicrobia_(SAR406_clade),0.06591104791324368,-27.163496923794792
