Citation,Title,URL,Notes,Whale species,Connection,Collected/observed in what?,Location,Method,Category from citation,Common name,Kingdom,Phylum,Class,Order,Infraorder,Family,Genus,Accepted Name,API_Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Firmicutes,nan,nan,nan,nan,Anaerovorax,,No Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Firmicutes,nan,nan,nan,nan,Solobacterium,,No Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Actinobacteria,nan,nan,nan,nan,Atopobium,,No Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Firmicutes,Clostridia,Clostridiales,nan,Lachnospiraceae,Butyrivibrio,,Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Firmicutes,nan,nan,nan,nan,Granulicatella,,No Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Firmicutes,Clostridia,Clostridiales,nan,Lachnospiraceae,Dorea,,Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,nan,Erysipelotrichaceae,Erysipelothrix,,Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Firmicutes,Clostridia,Clostridiales,nan,Ruminococcaceae,Sporobacter,,Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,nan,Bacteroidaceae,Bacteroides,,Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,nan,Prevotellaceae,Prevotella,,Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,nan,Erysipelotrichaceae,Turicibacter,,Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Firmicutes,Clostridia,Clostridiales,nan,Peptococcaceae,Peptococcus,,Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Firmicutes,Clostridia,Clostridiales,nan,Ruminococcaceae,Anaerofilum,,Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Firmicutes,Clostridia,Clostridiales,nan,Peptostreptococcaceae,Peptostreptococcus,,Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Actinobacteria,nan,nan,nan,nan,Gordonibacter,,No Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Firmicutes,Clostridia,Clostridiales,nan,Ruminococcaceae,Acetivibrio,,Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,nan,Porphyromonadaceae,Barnesiella,,Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,nan,Erysipelotrichaceae,Bulleidia,,Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Firmicutes,nan,nan,nan,nan,Pseudoflavonifractor,,No Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Firmicutes,nan,nan,nan,nan,Blautia,,No Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Firmicutes,Clostridia,Clostridiales,nan,Ruminococcaceae,Subdoligranulum,,Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,nan,Porphyromonadaceae,Parabacteroides,,Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Firmicutes,nan,nan,nan,nan,Gracilibacter,,No Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Bacteria,Bacteroidetes,nan,nan,nan,nan,Alloprevotella,,No Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,Metschnikowia most dominant fungi,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,nan,Metschnikowiaceae,Metschnikowia,,Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Fungi,Ascomycota,nan,nan,nan,nan,Arthroderma,,No Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Fungi,Ascomycota,Sordariomycetes,Hypocreales,nan,Nectriaceae,Fusarium,,Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Fungi,Ascomycota,nan,nan,nan,nan,Trichophyton,,No Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Fungi,Ascomycota,nan,nan,nan,nan,Pseudevernia,,No Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Fungi,Ascomycota,nan,nan,nan,nan,Clavispora,,No Response
Guass et al. 2016,"Analysis of the microbial diversity in faecal material of the endangered blue whale, Balaenoptera musculus",https://link.springer.com/article/10.1007/s10482-016-0698-1,,blue whales,gut bacteria/fungi?,feces,California,bacterial and fungal tag-encoded FLX-Titanium amplicon pyrosequencing,,,Fungi,Basidiomycota,Agaricomycetes,Agaricales,nan,Agaricaceae,Leucoagaricus,,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,"The acquisition of parasites by blue whales, which have a moderate diversity of parasites, is probably restricted by their highly specialized euphausid diet.",blue whales,parasites,skin?,All - review,visual?,,,Animalia,Platyhelminthes,Cestoda,Diphyllobothriidea,nan,Diphyllobothriidae,nan,Diplogonoporus balaenopterae,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Platyhelminthes,Cestoda,Tetrabothriidea,nan,Tetrabothriidae,nan,Priapocephalus grandis,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Platyhelminthes,Cestoda,Tetrabothriidea,nan,Tetrabothriidae,nan,Tetrabothrius affinis,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Platyhelminthes,Cestoda,Tetrabothriidea,nan,Tetrabothriidae,nan,Tetrabothrius wilsoni,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,Restricted to blue whales,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Platyhelminthes,Cestoda,Tetrabothriidea,nan,Tetrabothriidae,nan,Tetrabothrius schaeferi,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Platyhelminthes,Cestoda,Tetrabothriidea,nan,Tetrabothriidae,Tetrabothrius,,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Nematoda,Chromadorea,Rhabditida,nan,Anisakidae,Anisakis,Anisakis simplex,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Nematoda,Chromadorea,Rhabditida,nan,Anisakidae,Anisakis,,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Nematoda,Chromadorea,Rhabditida,nan,Tetrameridae,nan,Crassicauda crassicauda,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,Restricted to blue whales,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Nematoda,Chromadorea,Rhabditida,nan,Tetrameridae,nan,Crassicauda tortilis,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Nematoda,Chromadorea,Rhabditida,nan,Tetrameridae,nan,Crassicauda boopis,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Nematoda,Chromadorea,Rhabditida,nan,Anisakidae,nan,Pseudoterranova decipiens,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,nan,Polymorphidae,Bolbosoma,Bolbosoma turbinella,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,nan,Polymorphidae,Bolbosoma,Bolbosoma balaenae,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,nan,Polymorphidae,Bolbosoma,Bolbosoma brevicolle,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,nan,Polymorphidae,Bolbosoma,Bolbosoma hamiltoni,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,nan,Polymorphidae,Bolbosoma,Bolbosoma nipponicum,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,nan,Polymorphidae,Bolbosoma,Bolbosoma paramuschiri,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,nan,Polymorphidae,Bolbosoma,,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,Ogmogaster antarcticus,Animalia,Platyhelminthes,Trematoda,Plagiorchiida,nan,Notocotylidae,nan,Ogmogaster antarctica,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,Ogmogaster plicatus,Animalia,Platyhelminthes,Trematoda,Plagiorchiida,nan,Notocotylidae,nan,Ogmogaster plicata,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Arthropoda,Copepoda,Harpacticoida,nan,Balaenophilidae,Balaenophilus,Balaenophilus unisetus,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Arthropoda,Copepoda,Siphonostomatoida,nan,Pennellidae,nan,Pennella balaenopterae,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Arthropoda,Thecostraca,Balanomorpha,nan,Coronulidae,nan,Xenobalanus globicipitis,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Arthropoda,Thecostraca,Balanomorpha,nan,Coronulidae,nan,Coronula reginae,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Arthropoda,Thecostraca,Scalpellomorpha,nan,Lepadidae,nan,Conchoderma auritum,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Arthropoda,Thecostraca,Scalpellomorpha,nan,Lepadidae,nan,Conchoderma virgatum,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Nematoda,Chromadorea,Monhysterida,nan,Monhysteridae,nan,Odontobius ceti,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Arthropoda,Malacostraca,Amphipoda,nan,Cyamidae,nan,Cyamus balaenopterae,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Arthropoda,Malacostraca,Amphipoda,nan,Cyamidae,nan,Cyamus bahamondei,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Arthropoda,Malacostraca,Amphipoda,nan,Cyamidae,Cyamus,,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Chordata,Petromyzonti,Petromyzontiformes,nan,Petromyzontidae,nan,Entosphenus tridentatus,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Chordata,Teleostei,Carangiformes,nan,Echeneidae,nan,Remora australis,Response
Measures 1993,"Annotated List of Metazoan Parasites Reported from the Blue Whale, Balaenoptera musculus",https://www.researchgate.net/publication/265906993_Annotated_List_of_Metazoan_Parasites_Reported_from_the_Blue_Whale_Balaenoptera_musculus,,blue whales,parasites,skin?,All - review,visual?,,,Animalia,Chordata,Teleostei,Carangiformes,nan,Echeneidae,Remora,,Response
Fiedler et al. 1998,Blue whale habitat and prey in the California Channel Islands,https://www.sciencedirect.com/science/article/abs/pii/S0967064598800179,,blue whales,prey,water,California,visual?,,,Animalia,Arthropoda,Malacostraca,Euphausiacea,nan,Euphausiidae,nan,Thysanoessa spinifera,Response
Fiedler et al. 1998,Blue whale habitat and prey in the California Channel Islands,https://www.sciencedirect.com/science/article/abs/pii/S0967064598800179,,blue whales,prey,water,California,visual?,,,Animalia,Arthropoda,Malacostraca,Euphausiacea,nan,Euphausiidae,nan,Euphausia pacifica,Response
